player_display_name,position,fantasy_points_ppr,recent_team,games_played
Carson Steele,RB,23.9,KC,12
Mason Tipton,WR,23.9,NO,9
Xavier Hutchinson,WR,23.7,HOU,14
Bo Melton,WR,22.5,GB,11
Kenny McIntosh,RB,22.4,SEA,7
Trent Sherfield,WR,22.3,MIN,8
Julian Hill,TE,22.0,MIA,11
Desmond Ridder,QB,21.9,LV,5
Rakim Jarrett,WR,21.4,TB,6
DeeJay Dallas,RB,21.0,ARI,7
Craig Reynolds,RB,20.9,DET,7
Tyrod Taylor,QB,20.1,NYJ,2
Jimmy Garoppolo,QB,19.9,LA,1
Eric Gray,RB,19.3,NYG,10
Joe Milton,QB,19.2,NE,1
Devin Duvernay,WR,19.2,JAX,10
Ashton Dulin,WR,19.2,IND,9
Hunter Long,TE,19.0,LA,7
K.J. Osborn,WR,18.7,NE,6
Luke Farrell,TE,18.7,JAX,10
Ronnie Rivers,RB,18.3,LA,5
Ryan Flournoy,WR,18.2,DAL,7
Marquise Brown,WR,18.1,KC,2
Brevyn Spann-Ford,TE,17.8,DAL,6
Ainias Smith,WR,17.7,PHI,3
Harrison Bryant,TE,17.6,LV,5
Blake Whiteheart,TE,17.1,CLE,7
Simi Fehoko,WR,16.6,LAC,5
Zay Jones,WR,16.4,ARI,6
Xavier Gipson,WR,16.4,NYJ,7
DeAndre Carter,WR,16.2,CHI,5
MyCole Pruitt,TE,16.0,PIT,6
Connor Heyward,TE,16.0,PIT,5
Dorian Thompson-Robinson,QB,15.8,CLE,6
Kenny Yeboah,TE,15.7,NYJ,6
Will Shipley,RB,15.7,PHI,5
Bryce Oliver,WR,15.5,TEN,5
Hayden Hurst,TE,15.3,LAC,7
Mitchell Trubisky,QB,15.3,BUF,8
Parris Campbell,WR,15.0,PHI,4
Johnny Wilson,WR,14.8,PHI,9
Jermaine Burton,WR,14.7,CIN,4
Laviska Shenault Jr.,WR,14.7,SEA,6
Jalen Reagor,WR,14.7,LAC,7
Quintin Morris,TE,14.6,BUF,5
Odell Beckham,WR,14.5,MIA,8
John Bates,TE,14.4,WAS,10
Durham Smythe,TE,14.3,MIA,13
Jalin Hyatt,WR,14.2,NYG,10
Brandon Powell,WR,14.1,MIN,7
Tim Boyle,QB,13.9,NYG,3
Tyrell Shavers,WR,13.9,BUF,1
Ben Sinnott,TE,13.8,WAS,4
Devin Culp,TE,13.8,TB,2
River Cracraft,WR,13.6,MIA,4
Chris Conley,WR,13.6,SF,7
Mike Woods,WR,13.5,CLE,5
Tommy DeVito,QB,13.5,NYG,2
Julius Chestnut,RB,13.3,TEN,7
Jake Haener,QB,13.2,NO,8
D.J. Chark,WR,13.1,LAC,4
Trey Lance,QB,12.7,DAL,4
Jacob Cowing,WR,12.7,SF,3
Pharaoh Brown,TE,12.5,SEA,8
Chris Manhertz,TE,12.0,NYG,4
Tay Martin,WR,11.9,TEN,1
Scott Miller,WR,11.9,PIT,4
Ben Skowronek,WR,11.9,PIT,4
Deuce Vaughn,RB,11.8,DAL,5
Charlie Woerner,TE,11.6,ATL,8
Gerald Everett,TE,11.6,CHI,9
Tony Jones,RB,11.5,ARI,1
Luke Musgrave,TE,11.5,GB,7
Tucker Fisk,TE,10.9,LAC,7
Jeffery Wilson,RB,10.6,MIA,7
Britain Covey,WR,10.4,PHI,3
Peyton Hendershot,TE,10.1,KC,4
Clyde Edwards-Helaire,RB,10.0,NO,2
Davis Allen,TE,9.9,LA,6
Kristian Wilkerson,WR,9.8,LV,1
Tip Reiman,TE,9.7,ARI,5
Davis Mills,QB,9.6,HOU,4
Tyler Badie,RB,9.4,DEN,3
Devontez Walker,WR,9.1,BAL,2
Tyquan Thornton,WR,8.7,NE,4
Ben Sims,TE,8.2,GB,4
Sione Vaki,RB,8.1,DET,4
Raheem Blackshear,RB,8.0,CAR,3
Skylar Thompson,QB,7.9,MIA,2
Cam Grandy,TE,7.8,CIN,4
Greg Dulcich,TE,7.8,DEN,3
E.J. Jenkins,TE,7.7,PHI,2
Treylon Burks,WR,7.5,TEN,5
Charlie Jones,WR,7.5,CIN,2
Jonathon Brooks,RB,7.5,CAR,3
D'Wayne Eskridge,WR,7.4,MIA,3
Malachi Corley,WR,7.2,NYJ,5
Terrace Marshall,WR,7.1,LV,5
Tim Jones,WR,7.1,JAX,3
Bailey Zappe,QB,7.0,CLE,1
Will Mallory,TE,6.9,IND,7
Nikko Remigio,WR,6.8,KC,1
Keaton Mitchell,RB,6.8,BAL,2
Deven Thompkins,WR,6.7,CAR,4
Dan Chisena,WR,6.7,CAR,3
Cody White,WR,6.4,SEA,1
Travis Homer,RB,6.4,CHI,4
J.J. Taylor,RB,6.4,HOU,3
Brandon Allen,QB,6.4,SF,3
Xavier Smith,WR,6.2,LA,3
Alex Bachman,WR,6.1,LV,1
Austin Trammell,WR,6.0,JAX,1
Allen Robinson,WR,6.0,DET,6
Kene Nwangwu,RB,6.0,NYJ,1
Bryce Ford-Wheaton,WR,6.0,NYG,1
Ihmir Smith-Marsette,WR,6.0,NYG,1
Mike Boone,RB,5.9,CAR,5
David Bell,WR,5.7,CLE,1
Jamari Thrash,WR,5.2,CLE,6
James Proche,WR,5.1,CLE,2
Dallin Holker,TE,5.1,NO,2
Jacob Kibodi,RB,4.9,CLE,1
Carson Wentz,QB,4.7,KC,2
Tanner Conner,WR,4.6,MIA,2
Trenton Irwin,WR,4.5,CIN,4
Josiah Deguara,TE,4.4,JAX,3
Ronnie Bell,WR,4.2,SF,3
Jermar Jefferson,RB,4.2,DET,2
Jude McAtamney,K,4.0,NYJ,1
Dalvin Cook,RB,4.0,DAL,2
Jaheim Bell,TE,4.0,NE,3
Ian Thomas,TE,3.7,CAR,3
Mason Kinsey,WR,3.7,TEN,2
Anthony Gould,WR,3.3,IND,1
Terrell Jennings,RB,3.3,NE,2
Blake Watson,RB,3.3,DEN,1
Jase McClellan,RB,3.2,ATL,2
Shane Zylstra,TE,3.2,DET,1
Isaiah Hodgins,WR,3.2,NYG,2
Taylor Heinicke,QB,3.1,LAC,4
Grant DuBose,WR,3.1,MIA,2
Rasheen Ali,RB,3.1,BAL,4
Jack Stoll,TE,3.0,PHI,2
Velus Jones,RB,2.9,CHI,2
Eric Tomlinson,TE,2.9,LAC,4
MarShawn Lloyd,RB,2.8,GB,1
Chris Blair,WR,2.7,ATL,2
Brevin Jordan,TE,2.7,HOU,2
Hendon Hooker,QB,2.7,DET,3
Anthony Miller,WR,2.6,BAL,1
Isaiah Williams,WR,2.6,DET,1
Casey Washington,WR,2.4,ATL,2
Javon Baker,WR,2.2,NE,4
Feleipe Franks,TE,2.2,CAR,3
Jonathan Ward,RB,2.2,PIT,2
Trent Taylor,WR,2.1,SF,1
Myles Gaskin,RB,2.0,MIN,2
Brandon Johnson,WR,1.9,PIT,1
Kendric Pryor,WR,1.9,CIN,1
George Holani,RB,1.9,SEA,2
Cody Schrader,RB,1.9,LA,1
Chris Collier,RB,1.8,LV,2
Jared Wiley,TE,1.7,KC,1
Ramel Keyton,WR,1.7,LV,2
John Samuel Shenker,TE,1.7,LV,1
Geoff Swaim,TE,1.7,CLE,1
Aaron Shampklin,RB,1.7,PIT,3
John Ross,WR,1.6,PHI,1
Jaelon Darden,WR,1.6,CLE,1
Collin Johnson,WR,1.6,CHI,2
David Martin-Robinson,TE,1.6,TEN,2
Joseph Fortson,TE,1.5,KC,3
Tyler Scott,WR,1.5,CHI,1
Ross Dwelley,TE,1.5,ATL,1
Robbie Chosen,WR,1.5,MIA,1
Zach Davidson,TE,1.5,BUF,2
Nick Mullens,QB,1.3,MIN,4
Jha'Quan Jackson,WR,1.3,TEN,2
John FitzPatrick,TE,1.2,GB,1
Marcedes Lewis,TE,1.2,CHI,1
Mike White,QB,1.1,BUF,1
Tyreik McAllister,RB,1.1,LV,1
Kameron Johnson,WR,1.1,TB,3
Brycen Tremayne,WR,0.8,WAS,1
Josh Johnson,QB,0.8,BAL,4
Kyle Allen,QB,0.8,PIT,1
Tyrion Davis-Price,RB,0.7,PHI,1
Chris Oladokun,QB,0.5,KC,1
Jarrett Stidham,QB,0.5,DEN,2
Ke'Shawn Vaughn,RB,0.4,SF,1
Darrynton Evans,RB,0.3,CHI,1
Joshua Kelley,RB,0.2,TEN,1
British Brooks,RB,0.2,HOU,1
Justyn Ross,WR,0.0,KC,1
Brenden Bates,TE,0.0,CLE,1
Jordan Matthews,TE,0.0,CAR,1
Brayden Willis,TE,0.0,SF,1
Jack Browning,K,0.0,TB,5
Irvin Charles,WR,0.0,NYJ,1
Tom Kennedy,WR,0.0,DET,1
Stephen Sullivan,TE,0.0,CAR,1
Baylor Cupp,TE,0.0,KC,1
Xavier Weaver,WR,0.0,ARI,2
Steven Sims,WR,0.0,HOU,1
Erik Ezukanma,WR,0.0,MIA,1
Skyy Moore,WR,0.0,KC,2
Dareke Young,WR,0.0,SEA,1
Braxton Berrios,WR,0.0,MIA,3
Jermaine Jackson,WR,-0.1,NO,1
Jake Browning,QB,-0.2,CIN,2
Kyle Trask,QB,-0.2,TB,3
Tyson Bagent,QB,-0.3,CHI,4
Kadarius Toney,WR,-0.4,CLE,2
Sam Howell,QB,-0.8,SEA,1
Dylan Laube,RB,-2.0,LV,1
Clayton Tune,QB,-2.1,ARI,5
